Name,improved,unimproved,cash_val,machine_val,horse,mules,milkcow,oxen,cattle,sheep,swine,livestock_val,wheat,bye,corn,oats,rice,tobacco,cotton,wool,peas,potatos,sweetpotatos,barley,buckwheat,orchid_val,wine,grain_val,butter,cheese,hay,clover,grass,hops,hemp_dewrot,hemp_waterrot,hemp_other,flax,flaxseed,silk,maplesugar,canesugar,molasses,beewax,honey,manufactures_val,animals_val,pg_num,rown,year,town
Mey B Hall,60,60,3000,150,2,0,5,0,8,2,1,460,5,300,150,100,0,0,0,0,0,300,0,0,0,25,0,0,700,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,95,59,39,1860,Middlebury
John Growes,78,10,2500,100,0,0,3,2,3,18,2,332,5,90,100,250,0,0,0,136,0,15,0,0,0,0,0,0,400,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,42,59,40,1860,Middlebury
Edward Guller,180,10,6500,150,6,0,6,2,18,44,2,1300,25,0,200,180,0,0,0,200,8,100,0,0,0,0,0,0,600,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,61,1,1860,Middlebury
Nelson Fuller,54,3,1800,50,2,0,3,0,2,5,1,245,20,0,50,130,0,0,0,25,0,50,0,0,0,0,0,0,400,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,61,2,1860,Middlebury
Samuel N. Brooks,100,14,4000,100,2,0,4,0,8,29,1,518,40,18,50,100,0,0,0,108,90,100,0,0,0,0,0,0,500,0,60,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,100,61,3,1860,Middlebury
Chaney More,100,15,4000,75,2,0,4,0,2,52,1,500,25,0,50,100,0,0,0,200,26,100,0,0,0,0,0,0,500,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,61,4,1860,Middlebury
Geo k Smith,100,26,4500,100,2,0,9,0,9,40,1,640,48,0,50,125,0,0,0,200,20,100,0,0,0,0,0,0,400,200,50,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,49,61,5,1860,Middlebury
Abel Abby,130,140,5000,200,2,0,5,0,6,36,2,655,63,0,25,150,0,0,0,340,4,100,0,0,0,0,0,0,500,260,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,61,6,1860,Middlebury
Warren Abbey,36,50,1800,95,2,0,2,0,1,8,2,320,20,0,50,50,0,0,0,41,0,75,0,0,20,15,0,0,300,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,61,7,1860,Middlebury
Isauc Lovett,40,45,2400,95,1,0,3,2,3,13,1,430,60,0,15,24,0,0,0,50,0,80,0,0,0,0,0,0,400,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,28,61,8,1860,Middlebury
Abigail Bush,14,6,600,10,2,0,2,0,0,1,0,200,17,0,20,20,0,0,0,0,0,25,0,0,0,20,0,0,300,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,1860,Middlebury
Millin Storell,60,10,2000,50,0,0,2,2,1,50,1,455,28,0,0,160,0,0,0,112,0,75,0,0,0,0,0,0,900,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,61,10,1860,Middlebury
Eli Mother,120,10,6000,200,3,0,5,0,2,50,2,600,40,0,75,200,0,0,0,425,0,75,0,0,0,30,0,0,500,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,61,11,1860,Middlebury
H M. Hammond,250,50,10000,200,6,0,2,0,1,169,4,4000,93,0,0,400,0,0,0,1000,0,75,0,0,0,0,0,0,300,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,61,12,1860,Middlebury
E. Hammond,250,50,10000,250,14,0,6,4,2,250,4,6740,100,0,50,400,0,0,0,2200,100,300,0,0,0,0,0,0,800,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,61,13,1860,Middlebury
Calvin Mheeler,18,0,2000,25,2,0,3,0,3,0,2,360,5,0,50,100,0,0,0,0,6,75,0,0,0,0,0,0,500,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,61,14,1860,Middlebury
Frederick Limitte,60,15,9000,50,2,0,3,0,2,0,0,310,40,0,40,150,0,0,0,0,6,100,0,0,0,0,0,0,300,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,61,15,1860,Middlebury
Amis Nichols,23,0,9000,25,1,0,2,0,2,0,1,210,8,0,40,65,0,0,0,0,6,70,0,0,0,0,0,0,250,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,61,16,1860,Middlebury
Emhhraim Kirby,100,30,3500,75,2,0,4,0,0,92,0,688,0,0,75,50,0,0,0,400,0,100,0,0,0,0,0,0,600,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,61,17,1860,Middlebury
William Carr,75,25,350,100,2,0,5,0,5,90,1,1000,25,0,100,100,0,0,0,500,10,150,0,0,0,0,0,0,600,400,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,61,18,1860,Middlebury
Loar Borrows,35,5,1500,25,1,0,2,0,0,0,0,100,20,0,75,25,0,0,0,0,0,30,0,0,0,0,0,0,300,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,61,19,1860,Middlebury
Ira m. Brownell,160,25,4000,150,1,0,4,4,4,45,1,695,40,0,70,200,0,0,0,200,0,100,0,0,0,0,0,0,800,500,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,61,20,1860,Middlebury
Haratio goodrid,30,30,2000,100,2,0,2,0,3,0,1,250,20,15,10,70,0,0,0,0,0,50,0,0,0,20,0,0,200,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,61,21,1860,Middlebury
Isave Libes,40,0,1800,25,1,0,2,2,2,9,1,335,25,0,20,100,0,0,0,50,0,50,0,0,0,0,0,0,300,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,61,22,1860,Middlebury
E.U. Birge,55,15,3000,250,3,0,3,0,2,32,3,644,0,40,75,200,0,0,0,250,26,100,0,0,0,50,0,0,400,0,18,0,0,0,0,0,0,0,0,0,140,0,0,0,100,0,75,61,23,1860,Middlebury
David N.Buttolph,280,20,9000,250,4,0,6,0,3,129,4,1211,50,0,50,200,0,0,0,500,0,25,0,0,0,20,0,0,600,0,70,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,130,61,24,1860,Middlebury
John Homemond,110,0,4400,250,5,0,3,0,0,113,1,895,53,0,100,300,0,0,0,475,0,900,0,0,0,40,20,0,50,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,61,25,1860,Middlebury
Reuben R. Mright,300,30,12000,250,3,0,2,0,2,90,1,1050,40,0,50,468,0,0,0,690,0,50,0,0,0,0,0,0,200,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,61,26,1860,Middlebury
Lueins Barrows,145,25,5000,200,4,0,4,0,3,93,1,888,30,0,50,200,0,0,0,450,0,150,0,0,0,10,2,0,500,200,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,61,27,1860,Middlebury
Charles H. Wider,93,10,4000,150,2,0,10,0,5,2,2,505,25,0,40,150,0,0,0,0,0,100,0,0,0,0,0,0,1000,800,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,61,28,1860,Middlebury
A.H. Yornswoth,155,20,6000,100,4,0,3,0,2,120,2,885,70,0,70,100,0,0,0,100,40,200,0,0,0,25,0,0,400,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,61,29,1860,Middlebury
Harry Goodrich,80,50,3500,95,2,0,3,0,2,58,1,502,9,0,50,80,0,0,0,334,0,150,0,8,0,30,0,0,400,0,30,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,50,61,30,1860,Middlebury
Eduard Murry,118,6,4000,150,4,0,2,0,0,109,2,475,25,0,50,100,0,0,0,450,0,900,0,0,0,10,0,0,380,0,30,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,90,61,31,1860,Middlebury
Allen Goot,145,25,6000,250,3,0,4,0,2,84,2,699,50,18,50,200,0,0,0,300,0,150,0,0,0,20,0,0,400,100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,61,32,1860,Middlebury
H.C. Cody,60,10,1500,100,4,0,2,0,3,0,0,500,20,0,90,100,0,0,0,0,0,50,0,0,0,0,0,0,400,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,61,33,1860,Middlebury
Y Boardman,100,12,5000,150,1,0,2,2,3,100,1,600,15,0,50,120,0,0,0,300,0,100,0,0,0,0,0,0,900,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,61,34,1860,Middlebury
C.P. White,330,25,14440,900,1,0,2,2,8,0,0,302,0,0,0,0,0,0,0,0,0,300,0,6,0,25,0,0,600,0,75,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,150,61,35,1860,Middlebury
John M Holliday,110,20,4500,200,2,0,5,0,5,24,1,511,50,0,50,200,0,0,0,39,0,300,0,0,0,0,0,0,400,0,40,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,80,61,36,1860,Middlebury
Jonothan Youth,150,50,4000,95,2,0,5,2,4,40,2,610,20,100,90,75,0,0,0,150,0,125,0,0,20,20,0,0,600,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,61,37,1860,Middlebury
J. I More,80,14,3000,100,2,0,2,0,0,0,1,270,40,0,20,70,0,0,0,0,0,30,0,0,0,0,0,0,300,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,61,38,1860,Middlebury
D.L. Lessions,90,25,4000,150,5,0,4,0,0,0,5,705,40,0,150,140,0,0,0,0,25,50,0,0,0,0,0,0,400,600,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,39,1860,Middlebury
Mindres Zale,29,8,800,75,1,0,2,0,0,0,1,125,0,0,0,40,0,0,0,0,0,30,0,0,0,0,0,0,200,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,61,40,1860,Middlebury
Hirou Motherel,17,0,1000,25,3,0,2,0,0,0,2,150,25,0,30,40,0,0,0,0,0,100,0,0,0,0,0,0,400,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,63,1,1860,Middlebury
AM Pimely,42,0,4000,250,7,0,1,2,2,25,2,1040,12,0,40,140,0,0,0,220,0,200,0,0,0,20,0,0,300,0,60,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,130,63,2,1860,Middlebury
Enoch Jewey,64,0,3500,150,2,0,3,0,6,22,2,480,38,0,70,20,0,0,0,120,0,120,0,0,0,0,0,0,400,0,20,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,70,63,3,1860,Middlebury
John Hacket,160,55,10250,200,9,0,9,0,8,10,2,1680,20,0,0,400,0,0,0,80,3,125,0,0,70,5,0,0,600,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,63,4,1860,Middlebury
L.R. Leeley,82,18,3000,75,7,0,2,0,2,6,1,400,20,0,0,100,0,0,0,125,0,75,0,0,0,0,0,0,300,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,63,5,1860,Middlebury
James ballett,100,40,3500,75,5,0,2,0,3,40,2,600,30,0,20,100,0,0,0,150,0,100,0,0,0,0,0,0,300,0,25,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,60,63,6,1860,Middlebury
Y.Y. Crook,77,77,5000,150,2,0,6,0,3,1,1,330,18,0,50,170,0,0,0,0,0,75,0,0,0,0,0,0,400,0,50,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,58,63,7,1860,Middlebury
W. A Goodrich,200,60,12000,300,6,0,9,4,16,50,3,1000,40,0,200,400,0,0,0,200,0,100,0,0,0,0,0,0,1000,200,80,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,63,8,1860,Middlebury
Jonethere Leeley,270,30,12000,300,6,0,6,2,4,300,2,2660,50,0,30,200,0,0,0,1100,0,150,0,0,0,0,0,0,600,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,63,9,1860,Middlebury
Maineright,120,0,6000,150,8,0,7,0,16,92,2,1268,25,0,25,150,0,0,0,200,3,200,0,0,0,15,0,0,600,200,75,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,80,63,10,1860,Middlebury
U.E. Beach,47,0,2100,75,1,0,2,2,5,0,1,300,0,0,75,20,0,0,0,0,0,20,0,0,0,0,0,0,400,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,11,1860,Middlebury
John Yeeley,125,20,6000,150,7,0,4,0,2,0,1,1200,45,0,50,200,0,0,0,600,6,100,0,0,0,0,0,0,600,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,63,12,1860,Middlebury
Mickel Ryon,80,20,4000,100,1,0,6,2,8,0,1,500,0,0,20,0,0,0,0,0,0,40,0,0,0,0,0,0,1000,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,13,1860,Middlebury
Jacves M Piper,75,10,3000,75,2,0,2,0,4,175,1,630,20,0,50,100,0,0,0,225,15,75,0,0,15,0,0,0,300,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,63,14,1860,Middlebury
Lilas liper fr,62,15,3000,75,3,0,2,0,5,57,2,755,14,0,50,70,0,0,0,115,4,40,0,0,0,10,0,0,300,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,75,63,15,1860,Middlebury
Alfred Itowell,75,25,3000,100,3,0,4,0,5,29,1,600,10,0,50,100,0,0,0,200,0,75,0,0,0,0,0,0,400,150,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,63,16,1860,Middlebury
Merlin Clark,156,16,5369,175,3,0,4,0,5,95,0,870,25,0,50,100,0,0,0,200,0,100,0,0,0,0,0,0,500,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,17,1860,Middlebury
Isaac Eeles,62,8,2000,50,2,0,3,2,3,0,0,330,20,0,30,70,0,0,0,0,0,75,0,0,0,0,0,0,400,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,63,18,1860,Middlebury
Daniel Pullivan,63,8,2500,75,3,0,3,0,3,25,1,560,45,0,40,150,0,0,0,114,0,100,0,0,0,0,0,0,300,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,63,19,1860,Middlebury
Julius P Douglas,200,220,7000,250,6,0,4,0,8,70,2,1749,25,21,75,130,0,0,0,480,0,130,0,0,0,0,0,0,400,100,40,0,0,0,0,0,0,0,0,0,0,0,0,5,40,0,75,63,20,1860,Middlebury
Micruses Shackett,100,0,7000,250,4,0,3,2,1,5,1,810,60,0,30,150,0,0,0,200,12,75,0,0,0,0,0,0,400,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,63,21,1860,Middlebury
E H. Denison,100,0,7000,250,2,0,4,0,3,89,1,650,0,0,200,200,0,0,0,250,30,50,0,0,0,0,0,0,500,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,63,22,1860,Middlebury
H.C. Lessions,152,10,4000,200,5,0,4,0,6,162,2,1118,65,40,50,400,0,0,0,750,0,140,0,0,0,40,0,0,100,0,60,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,75,63,23,1860,Middlebury
Naham Parker,97,17,1500,25,1,0,1,0,0,0,1,150,0,0,12,50,0,0,0,0,0,25,0,0,0,0,0,0,110,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,24,1860,Middlebury
H.A. Johnson,243,120,13500,300,23,0,10,0,6,0,2,3380,40,0,100,400,0,0,0,0,75,300,0,0,0,0,0,0,700,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,63,25,1860,Middlebury
I.E.A. Lealand,295,50,13000,300,6,0,18,6,13,3,2,1390,13,140,40,481,0,0,0,0,25,100,0,0,79,25,10,0,2647,200,80,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,179,63,26,1860,Middlebury
mu Peacle,120,30,7000,150,0,0,12,2,10,30,1,780,30,75,50,188,0,0,0,42,2,191,0,0,37,0,0,0,1000,500,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,63,27,1860,Middlebury
E.N. Items,109,31,4350,150,2,0,6,2,0,0,0,430,0,80,20,150,0,0,0,0,0,150,0,0,5,0,0,0,200,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,28,1860,Middlebury
Y.M. Bidwell,61,0,2200,25,1,0,3,0,2,0,0,218,25,40,15,50,0,0,0,0,7,90,0,0,4,0,0,0,400,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,63,29,1860,Middlebury
James Yean,123,7,3500,100,6,0,4,0,10,0,2,800,65,220,100,240,0,0,0,0,20,250,0,0,0,10,0,0,500,150,40,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,180,63,30,1860,Middlebury
Edium Foot,100,0,3000,0,2,0,4,0,8,0,1,600,50,65,75,251,0,0,0,0,0,100,0,0,0,0,0,0,500,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,63,31,1860,Middlebury
Elijoh Brown,80,23,1500,100,2,0,1,0,4,0,0,900,0,20,12,100,0,0,0,0,0,100,0,0,0,40,0,0,150,0,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,40,63,32,1860,Middlebury
Nelson Stone,30,0,600,30,1,0,1,0,2,0,0,100,0,18,20,30,0,0,0,0,6,75,0,0,0,0,0,0,150,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,63,33,1860,Middlebury
Daniel Leno,40,0,600,30,1,0,2,0,2,0,0,150,0,25,50,50,0,0,0,0,8,100,0,0,0,0,0,0,200,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,63,34,1860,Middlebury
HomesMe bonald,115,10,4500,100,4,0,5,2,8,0,1,775,28,0,50,32,0,0,0,0,0,50,0,0,0,0,0,0,500,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,63,35,1860,Middlebury
Benj Owene,50,0,2500,50,1,0,3,0,1,0,2,250,15,0,40,100,0,0,0,0,0,200,0,0,0,0,0,0,250,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,63,36,1860,Middlebury
James Hampher,60,30,2000,50,2,0,2,0,6,0,1,300,10,0,25,100,0,0,0,0,0,100,0,0,0,0,0,0,200,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,37,1860,Middlebury
Eber Hier,200,100,3000,100,2,0,1,0,2,10,1,400,0,10,40,50,0,0,0,75,0,75,0,0,6,0,0,0,150,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,63,38,1860,Middlebury
Thubal Hill,50,50,2000,25,1,0,2,0,3,5,0,250,0,10,20,50,0,0,0,0,0,50,0,0,7,0,0,0,200,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,63,39,1860,Middlebury
